Gnd tr X,Gnd tr Y,Gaze X,Gaze Y,Timestamp,Res X,Res Y,Mmpix,User Dis,UID
335,1,330.9712,-8.0739,1382639649,,,,,
335,1,358.3957,-23.6135,1382639679,,,,,
335,1,355.0482,-23.2184,1382639710,,,,,
335,1,353.2442,-21.5093,1382639724,,,,,
335,1,362.801,-16.8056,1382639784,,,,,
335,1,362.8004,-8.3408,1382639816,,,,,
335,1,351.8508,-8.7259,1382639844,,,,,
335,1,353.9237,-22.6311,1382639874,,,,,
335,1,341.3977,-13.5651,1382639919,,,,,
335,1,367.7836,-10.4724,1382639939,,,,,
335,1,366.4693,4.7433,1382639979,,,,,
335,1,362.5738,3.3041,1382639999,,,,,
335,1,362.5738,3.3041,1382640045,,,,,
335,1,347.8044,32.4919,1382640074,,,,,
335,1,370.211,23.9543,1382640114,,,,,
335,1,378.9215,24.5182,1382640144,,,,,
335,1,379.0178,29.0911,1382640174,,,,,
335,1,359.8166,12.2032,1382640219,,,,,
335,1,326.1685,60.8047,1382640249,,,,,
335,1,335.2178,51.3445,1382640279,,,,,
335,1,357.6389,34.5082,1382640299,,,,,
335,1,396.0336,57.9969,1382640355,,,,,
335,1,392.4021,16.938,1382640384,,,,,
335,1,397.0475,38.3832,1382640414,,,,,
335,1,400.0243,18.0265,1382640444,,,,,
335,1,408.1943,16.3605,1382640464,,,,,
335,1,423.7245,23.4931,1382640509,,,,,
335,1,423.7245,23.4931,1382640539,,,,,
335,1,423.7245,23.4931,1382640569,,,,,
335,1,423.7245,23.4931,1382640599,,,,,
335,1,423.7245,23.4931,1382640645,,,,,
335,1,463.1459,122.7336,1382640684,,,,,
335,1,422.3795,77.3989,1382640714,,,,,
335,1,412.8597,65.3098,1382640744,,,,,
335,1,366.5331,25.7346,1382640774,,,,,
335,1,368.2999,45.7431,1382640819,,,,,
335,1,367.3996,49.415,1382640849,,,,,
335,1,359.2659,51.7644,1382640879,,,,,
335,1,357.9052,50.5,1382640909,,,,,
335,1,354.8313,41.0307,1382640955,,,,,
335,1,353.3342,-3.1181,1382640984,,,,,
335,1,355.7727,-8.4973,1382641014,,,,,
335,1,357.406,-2.7881,1382641044,,,,,
335,1,369.5235,-4.2489,1382641074,,,,,
335,1,371.114,21.9898,1382641119,,,,,
335,1,366.639,20.6717,1382641151,,,,,
335,1,367.5583,16.8338,1382641169,,,,,
335,1,353.5902,10.1572,1382641209,,,,,
335,1,372.0719,-5.1708,1382641255,,,,,
335,1,368.9126,-7.3342,1382641284,,,,,
335,1,362.6049,-2.5714,1382641315,,,,,
335,1,355.6609,7.4001,1382641345,,,,,
335,1,366.9423,0.095,1382641374,,,,,
335,1,345.5971,-22.1327,1382641419,,,,,
335,1,344.0005,-17.3186,1382641451,,,,,
335,1,341.1929,-19.1318,1382641469,,,,,
335,1,336.8716,-31.9096,1382641510,,,,,
335,1,342.1085,-34.1014,1382641555,,,,,
335,1,339.3345,-32.6837,1382641584,,,,,
335,1,362.569,-14.2704,1382641615,,,,,
335,1,357.1616,-14.2819,1382641644,,,,,
335,1,370.9022,-0.5964,1382641674,,,,,
335,1,371.3804,0.2142,1382641719,,,,,
335,1,368.4747,4.8592,1382641749,,,,,
335,1,355.2972,7.3815,1382641769,,,,,
335,1,348.0425,7.2337,1382641814,,,,,
335,1,366.8863,3.4747,1382641855,,,,,
335,1,361.4844,-0.9877,1382641884,,,,,
335,1,378.6977,17.2033,1382641914,,,,,
335,1,379.4673,23.795,1382641944,,,,,
335,1,372.3031,25.9485,1382641974,,,,,
335,1,369.8535,27.8268,1382642019,,,,,
335,1,373.7848,21.4472,1382642052,,,,,
335,1,370.0956,8.7604,1382642079,,,,,
335,1,364.8176,-6.1046,1382642124,,,,,
335,1,368.2637,8.5345,1382642155,,,,,
335,1,380.1937,4.7223,1382642186,,,,,
335,1,383.5402,10.4039,1382642214,,,,,
671,1,375.3214,32.6122,1382642244,,,,,
671,1,369.2344,28.2849,1382642277,,,,,
671,1,363.916,13.7113,1382642319,,,,,
671,1,362.1754,1.491,1382642351,,,,,
671,1,360.4345,-3.3866,1382642380,,,,,
671,1,347.3041,-8.9703,1382642411,,,,,
671,1,395.9025,12.3226,1382642455,,,,,
671,1,417.5739,5.6691,1382642484,,,,,
671,1,556.1597,8.6185,1382642504,,,,,
671,1,613.7429,11.1176,1382642544,,,,,
671,1,650.9674,11.1653,1382642574,,,,,
671,1,681.5516,24.8845,1382642621,,,,,
671,1,678.9242,14.5205,1382642651,,,,,
671,1,679.0039,12.353,1382642679,,,,,
671,1,677.3927,3.2689,1382642724,,,,,
671,1,677.9392,-1.4818,1382642755,,,,,
671,1,679.9086,-3.5842,1382642784,,,,,
671,1,696.6961,-12.0238,1382642814,,,,,
671,1,714.926,9.9835,1382642844,,,,,
671,1,690.3162,-7.8447,1382642874,,,,,
671,1,673.0112,-13.3332,1382642919,,,,,
671,1,675.8941,-11.1867,1382642949,,,,,
671,1,676.6638,-12.5491,1382642979,,,,,
671,1,687.2622,-18.8417,1382643024,,,,,
671,1,693.2245,-17.7087,1382643055,,,,,
671,1,692.2448,-14.5687,1382643084,,,,,
671,1,695.7732,-18.1562,1382643114,,,,,
671,1,715.8761,-21.7606,1382643144,,,,,
671,1,716.309,-26.3489,1382643174,,,,,
671,1,719.6473,-32.4213,1382643219,,,,,
671,1,717.6305,-32.8951,1382643251,,,,,
671,1,716.0587,-28.7922,1382643279,,,,,
671,1,693.6811,5.7921,1382643324,,,,,
671,1,702.7833,35.2215,1382643355,,,,,
671,1,710.5054,47.8948,1382643384,,,,,
671,1,682.3345,18.1265,1382643403,,,,,
671,1,700.652,30.9799,1382643459,,,,,
671,1,692.3674,16.0806,1382643474,,,,,
671,1,690.4727,22.684,1382643519,,,,,
671,1,688.9556,15.788,1382643551,,,,,
671,1,691.6625,5.3523,1382643580,,,,,
671,1,694.1995,-2.3903,1382643624,,,,,
671,1,688.3733,-2.2029,1382643655,,,,,
671,1,691.0006,-0.2443,1382643684,,,,,
671,1,688.1163,-6.3481,1382643714,,,,,
671,1,671.9946,-13.5114,1382643759,,,,,
671,1,669.9566,-13.8964,1382643776,,,,,
671,1,671.9307,-15.1397,1382643821,,,,,
671,1,668.5942,-4.9719,1382643849,,,,,
671,1,671.1186,-8.8854,1382643881,,,,,
671,1,685.748,-10.7546,1382643924,,,,,
671,1,676.8243,-21.665,1382643955,,,,,
671,1,674.1538,-17.8547,1382643973,,,,,
671,1,669.9504,-16.1689,1382644014,,,,,
671,1,667.9702,11.361,1382644059,,,,,
671,1,669.5674,8.0498,1382644074,,,,,
671,1,678.9673,-21.3967,1382644119,,,,,
671,1,676.5324,-25.2746,1382644149,,,,,
671,1,672.9207,-17.3594,1382644179,,,,,
671,1,676.5955,-16.7337,1382644224,,,,,
671,1,690.2762,-15.5049,1382644255,,,,,
671,1,711.2038,-28.9108,1382644284,,,,,
671,1,701.0411,-22.3001,1382644314,,,,,
671,1,684.9571,4.32,1382644359,,,,,
671,1,689.4025,-5.2001,1382644374,,,,,
671,1,694.4813,-21.3195,1382644419,,,,,
671,1,693.0589,-21.0557,1382644449,,,,,
671,1,676.9823,-21.0455,1382644494,,,,,
671,1,675.8598,-15.2197,1382644524,,,,,
671,1,672.2745,-10.3248,1382644555,,,,,
671,1,666.7437,-2.4578,1382644584,,,,,
671,1,668.8216,-12.5224,1382644614,,,,,
671,1,684.5189,-34.9029,1382644659,,,,,
671,1,689.9966,-36.8119,1382644674,,,,,
671,1,673.1836,-34.47,1382644719,,,,,
671,1,675.8491,-33.7054,1382644738,,,,,
671,1,677.4532,-38.7696,1382644779,,,,,
671,1,673.044,-23.869,1382644824,,,,,
671,1,679.1798,-30.5232,1382644855,,,,,
671,1,669.6489,-14.1292,1382644886,,,,,
671,1,673.5666,-9.3464,1382644914,,,,,
671,1,675.1675,-21.159,1382644959,,,,,
671,1,664.4036,-9.6634,1382644974,,,,,
671,1,668.7127,6.4076,1382645019,,,,,
671,1,669.4947,10.7851,1382645049,,,,,
671,1,674.8435,-5.1586,1382645094,,,,,
671,1,685.7362,-13.3585,1382645124,,,,,
671,1,684.4555,-16.6869,1382645156,,,,,
671,1,682.1824,-21.1032,1382645184,,,,,
671,1,665.3795,-41.8162,1382645216,,,,,
335,1,661.244,-42.67,1382645259,,,,,
335,1,663.6232,-43.5779,1382645274,,,,,
335,1,673.996,-12.2006,1382645319,,,,,
335,1,671.6416,-18.6798,1382645349,,,,,
335,1,648.6621,-35.8338,1382645394,,,,,
335,1,651.0134,-37.4603,1382645424,,,,,
335,1,642.1245,-28.0488,1382645455,,,,,
335,1,634.4958,-27.1452,1382645484,,,,,
335,1,512.1038,-7.5182,1382645514,,,,,
335,1,400.0662,-16.0681,1382645560,,,,,
335,1,396.9319,-21.0433,1382645574,,,,,
335,1,372.7306,-14.856,1382645619,,,,,
335,1,372.7643,-17.777,1382645649,,,,,
335,1,354.8849,-11.9595,1382645695,,,,,
335,1,344.1081,-12.3796,1382645724,,,,,
335,1,357.7883,-15.8261,1382645755,,,,,
335,1,356.8177,-20.2216,1382645784,,,,,
335,1,356.8563,-32.5616,1382645818,,,,,
335,1,357.5306,-16.9803,1382645859,,,,,
335,1,356.2469,4.1839,1382645874,,,,,
