Gnd tr X,Gnd tr Y,Gaze X,Gaze Y,Timestamp,Res X,Res Y,Mmpix,User Dis,UID
-1,1,174.7791,246.1693,1206747159,1680,1050,0.28,750,User1
-1,1,183.9622,236.5883,1206747189,,,,,
-1,1,183.1543,238.1751,1206747218,,,,,
-1,1,185.0617,239.3776,1206747250,,,,,
-1,1,181.4268,231.8844,1206747295,,,,,
-1,1,182.7533,243.036,1206747324,,,,,
-1,1,172.9352,243.8686,1206747354,,,,,
-1,1,174.3651,242.2272,1206747384,,,,,
-1,1,188.3724,237.482,1206747414,,,,,
-1,1,183.2385,234.4555,1206747459,,,,,
-1,1,23.3216,-9.856,1206747488,,,,,
-1,1,21.8836,-13.581,1206747519,,,,,
-1,1,19.6703,-18.3285,1206747549,,,,,
-1,1,13.9011,-23.9331,1206747595,,,,,
-1,1,9.8959,-28.3752,1206747623,,,,,
-1,1,18.8743,-32.6271,1206747654,,,,,
-1,1,21.5524,-29.667,1206747684,,,,,
-1,1,18.6603,-22.3387,1206747713,,,,,
-1,1,23.3209,-14.2793,1206747760,,,,,
-1,1,19.2914,-25.6136,1206747789,,,,,
-1,1,14.8956,-20.688,1206747819,,,,,
-1,1,15.1436,-9.3817,1206747864,,,,,
-1,1,13.9228,-6.1694,1206747894,,,,,
-1,1,17.2825,-5.3662,1206747924,,,,,
-1,1,-6.3868,-9.9927,1206747954,,,,,
-1,1,-1.2129,-10.0763,1206747983,,,,,
-1,1,-0.8878,-8.2554,1206748014,,,,,
-1,1,16.6643,-10.6401,1206748059,,,,,
-1,1,15.3436,-15.9479,1206748090,,,,,
-1,1,10.9981,-14.2427,1206748119,,,,,
-1,1,18.5582,-15.1487,1206748163,,,,,
-1,1,21.9315,-22.5526,1206748195,,,,,
-1,1,19.1179,-22.6531,1206748224,,,,,
-1,1,2.4796,-14.1762,1206748253,,,,,
-1,1,0.2683,-14.9382,1206748284,,,,,
-1,1,8.387,-16.2025,1206748314,,,,,
-1,1,9.6865,-16.8116,1206748359,,,,,
-1,1,-2.5756,-8.1425,1206748388,,,,,
-1,1,-0.0013,-14.4607,1206748420,,,,,
-1,1,16.275,-13.7925,1206748463,,,,,
-1,1,21.2171,-20.8267,1206748495,,,,,
-1,1,18.779,-22.5459,1206748523,,,,,
-1,1,5.2355,-18.7758,1206748554,,,,,
-1,1,4.6115,-17.9893,1206748583,,,,,
-1,1,2.8652,-15.4556,1206748613,,,,,
-1,1,5.7537,-12.9815,1206748658,,,,,
-1,1,1.2715,3.471,1206748689,,,,,
-1,1,-0.0964,8.1337,1206748718,,,,,
-1,1,-4.4612,-1.0296,1206748763,,,,,
-1,1,-2.9962,-0.0354,1206748794,,,,,
-1,1,5.659,-7.3913,1206748823,,,,,
-1,1,4.4916,-13.7542,1206748853,,,,,
-1,1,-5.2062,-5.5893,1206748898,,,,,
-1,1,-7.5623,-5.9978,1206748913,,,,,
-1,1,-7.5358,-3.473,1206748958,,,,,
-1,1,0.5946,-5.4558,1206748988,,,,,
-1,1,-1.2325,-7.499,1206749018,,,,,
-1,1,0.5686,-19.3295,1206749063,,,,,
-1,1,-5.4476,-22.9331,1206749095,,,,,
-1,1,1.626,-13.3444,1206749123,,,,,
-1,1,10.4448,-4.1039,1206749153,,,,,
-1,1,1.3309,-29.457,1206749198,,,,,
-1,1,0.0461,-30.7654,1206749214,,,,,
-1,1,-3.371,-34.4391,1206749259,,,,,
-1,1,0.5291,-29.5836,1206749288,,,,,
-1,1,1.1646,-17.7578,1206749319,,,,,
-1,1,10.1903,-47.2825,1206749365,,,,,
-1,1,10.0487,-41.7907,1206749394,,,,,
-1,1,10.6577,-32.4184,1206749423,,,,,
-1,1,0.4341,-29.5372,1206749453,,,,,
-1,1,0.2057,-26.8744,1206749498,,,,,
-1,1,4.3208,-27.6494,1206749513,,,,,
-1,1,10.2083,-27.1712,1206749558,,,,,
-1,1,13.7701,-29.7879,1206749588,,,,,
-1,1,13.9416,-21.4807,1206749618,,,,,
-1,1,16.4053,-6.324,1206749663,,,,,
-1,1,17.8088,-0.6333,1206749694,,,,,
-1,1,18.3479,-4.3949,1206749723,,,,,
-1,1,8.2348,-19.2358,1206749754,,,,,
-1,1,0.2834,-21.2992,1206749798,,,,,
-1,1,-1.6598,-22.1225,1206749813,,,,,
-1,1,-1.5149,-22.3287,1206749858,,,,,
-1,1,1.4993,-23.0529,1206749888,,,,,
-1,1,3.1668,-26.6906,1206749918,,,,,
-1,1,-5.7905,-7.8827,1206749963,,,,,
-1,1,-3.2579,-1.0697,1206749994,,,,,
-1,1,5.4301,-8.9449,1206750023,,,,,
-1,1,5.6608,-16.4022,1206750053,,,,,
-1,1,10.5642,-17.9663,1206750098,,,,,
335,1,6.5076,-14.7999,1206750113,,,,,
335,1,-0.2772,-9.8466,1206750158,,,,,
335,1,9.9904,0.9658,1206750188,,,,,
335,1,17.704,6.3938,1206750218,,,,,
335,1,8.7038,4.45,1206750263,,,,,
335,1,2.4603,-2.235,1206750294,,,,,
335,1,11.2905,10.9466,1206750323,,,,,
335,1,16.6787,9.6955,1206750353,,,,,
335,1,35.0493,3.9008,1206750398,,,,,
335,1,52.5856,2.3099,1206750413,,,,,
335,1,221.7092,-24.8591,1206750458,,,,,
335,1,283.2911,-18.1645,1206750488,,,,,
335,1,332.0179,-7.7076,1206750534,,,,,
335,1,339.6875,-3.3526,1206750563,,,,,
