Gnd tr X,Gnd tr Y,Gaze X,Gaze Y,Timestamp,Res X,Res Y,Mmpix,User Dis,UID
-1,1,-0.5467,234.4277,1205968748,1680,1050,0.28,450,User1
-1,1,1.0912,227.855,1205968772,1680,1050,,450,
-1,1,1.9746,229.0951,1205968816,1680,1050,,450,
-1,1,2.199,234.5947,1205968850,1680,1050,,450,
-1,1,1.8882,234.0449,1205968864,1680,1050,,450,
-1,1,-0.5628,224.71,1205968908,1680,1050,,450,
-1,1,3.3729,226.3284,1205968951,1680,1050,,450,
-1,1,3.8126,217.75,1205968987,1680,1050,,450,
-1,1,4.6692,215.079,1205969017,1680,1050,,450,
-1,1,7.0956,93.6767,1205969045,1680,1050,,450,
-1,1,5.9407,25.0651,1205969075,1680,1050,,450,
-1,1,1.3331,-8.8736,1205969121,1680,1050,,450,
-1,1,1.3482,-9.6007,1205969151,1680,1050,,450,
-1,1,0.9993,-9.0171,1205969166,1680,1050,,450,
-1,1,4.4636,-14.7023,1205969213,1680,1050,,450,
-1,1,14.6085,-19.1765,1205969242,1680,1050,,450,
-1,1,16.2905,-20.3891,1205969287,1680,1050,,450,
-1,1,18.2139,-18.7849,1205969312,1680,1050,,450,
-1,1,19.1478,-16.7406,1205969347,1680,1050,,450,
-1,1,13.5142,-15.0244,1205969375,1680,1050,,450,
-1,1,13.6676,-15.5871,1205969421,1680,1050,,450,
-1,1,14.2087,-16.151,1205969448,1680,1050,,450,
-1,1,14.2362,-16.5099,1205969466,1680,1050,,450,
-1,1,13.7946,-16.985,1205969512,1680,1050,,450,
-1,1,11.6979,-13.299,1205969537,1680,1050,,450,
-1,1,13.2571,-11.5422,1205969582,1680,1050,,450,
-1,1,13.693,-11.5706,1205969616,1680,1050,,450,
-1,1,15.2877,-13.1639,1205969647,1680,1050,,450,
-1,1,13.3991,-14.3331,1205969673,1680,1050,,450,
-1,1,9.4682,-13.0922,1205969718,1680,1050,,450,
-1,1,11.2273,-11.8199,1205969751,1680,1050,,450,
-1,1,13.3271,-12.4793,1205969762,1680,1050,,450,
-1,1,13.1475,-12.7505,1205969808,1680,1050,,450,
-1,1,14.3768,-10.8911,1205969852,1680,1050,,450,
-1,1,12.5222,-16.3141,1205969887,1680,1050,,450,
-1,1,16.3966,-17.5413,1205969916,1680,1050,,450,
-1,1,16.4325,-17.6993,1205969943,1680,1050,,450,
-1,1,15.5076,-15.505,1205969989,1680,1050,,450,
-1,1,15.9077,-11.5666,1205970022,1680,1050,,450,
-1,1,13.7022,-11.0648,1205970052,1680,1050,,450,
-1,1,14.4173,-9.8868,1205970066,1680,1050,,450,
-1,1,16.4873,-9.8875,1205970110,1680,1050,,450,
-1,1,18.1618,-10.7369,1205970142,1680,1050,,450,
-1,1,15.5976,-13.7279,1205970186,1680,1050,,450,
-1,1,15.0245,-13.4741,1205970212,1680,1050,,450,
-1,1,14.9393,-13.0657,1205970249,1680,1050,,450,
-1,1,15.0707,-13.4506,1205970277,1680,1050,,450,
-1,1,14.895,-15.1797,1205970320,1680,1050,,450,
-1,1,14.9692,-15.0875,1205970347,1680,1050,,450,
-1,1,15.8284,-15.0525,1205970366,1680,1050,,450,
-1,1,15.3144,-17.2089,1205970411,1680,1050,,450,
-1,1,14.9691,-16.8245,1205970439,1680,1050,,450,
-1,1,18.3888,-14.282,1205970483,1680,1050,,450,
-1,1,19.6489,-15.3923,1205970514,1680,1050,,450,
-1,1,19.7758,-19.0566,1205970547,1680,1050,,450,
-1,1,20.8161,-21.6538,1205970574,1680,1050,,450,
-1,1,22.5974,-23.6278,1205970618,1680,1050,,450,
-1,1,22.1102,-23.4265,1205970652,1680,1050,,450,
-1,1,21.0039,-23.8611,1205970663,1680,1050,,450,
-1,1,19.4164,-23.5842,1205970708,1680,1050,,450,
-1,1,14.1586,-17.2433,1205970752,1680,1050,,450,
-1,1,15.2903,-15.5599,1205970787,1680,1050,,450,
-1,1,18.4812,-17.589,1205970817,1680,1050,,450,
-1,1,19.0981,-18.033,1205970843,1680,1050,,450,
-1,1,16.6276,-23.621,1205970889,1680,1050,,450,
-1,1,11.524,-26.3921,1205970921,1680,1050,,450,
-1,1,10.7301,-21.1964,1205970951,1680,1050,,450,
-1,1,13.5671,-19.0836,1205970964,1680,1050,,450,
-1,1,17.3749,-19.2777,1205971021,1680,1050,,450,
-1,1,18.5337,-18.0935,1205971041,1680,1050,,450,
-1,1,18.0798,-18.6625,1205971087,1680,1050,,450,
-1,1,16.5014,-20.5704,1205971111,1680,1050,,450,
-1,1,14.6835,-22.6721,1205971148,1680,1050,,450,
-1,1,15.5316,-23.1558,1205971177,1680,1050,,450,
-1,1,23.1052,-16.2704,1205971221,1680,1050,,450,
-1,1,17.0406,-14.8059,1205971248,1680,1050,,450,
-1,1,13.7529,-14.7443,1205971268,1680,1050,,450,
-1,1,8.8032,-13.1141,1205971311,1680,1050,,450,
-1,1,11.2929,-9.947,1205971356,1680,1050,,450,
-1,1,13.7341,-8.3999,1205971381,1680,1050,,450,
-1,1,15.6975,-12.118,1205971417,1680,1050,,450,
-1,1,18.7034,-16.6057,1205971448,1680,1050,,450,
-1,1,20.8659,-18.7666,1205971473,1680,1050,,450,
-1,1,18.0785,-10.8301,1205971518,1680,1050,,450,
-1,1,15.0968,-10.3857,1205971551,1680,1050,,450,
-1,1,14.5862,-11.9314,1205971564,1680,1050,,450,
-1,1,10.8713,-18.8184,1205971609,1680,1050,,450,
-1,1,8.99,-20.3402,1205971654,1680,1050,,450,
-1,1,11.8923,-20.5711,1205971684,1680,1050,,450,
335,1,14.6712,-20.5624,1205971716,1680,1050,,450,
335,1,10.8022,-21.1971,1205971743,1680,1050,,450,
335,1,6.6943,-19.38,1205971787,1680,1050,,450,
