74.5552,68.9592,708.1624,1464944762.65600
74.5440,68.9040,708.0124,1464944795.96500
74.5118,68.8484,707.8449,1464944829.27500
74.4971,68.8379,707.7336,1464944862.58400
74.4966,68.8406,707.6026,1464944895.89400
74.4174,68.6996,707.1419,1464944929.20300
74.3856,68.7120,707.1022,1464944962.51200
74.3962,68.9122,707.6776,1464944995.82200
74.4222,69.0052,708.1098,1464945029.13100
74.4480,68.9899,708.3113,1464945062.44000
74.4793,68.9687,708.5073,1464945095.75000
74.5538,69.1057,708.9303,1464945129.05900
74.4256,68.8695,708.0731,1464945162.36900
74.3102,68.7839,708.2239,1464945195.67800
74.3143,68.8834,707.8235,1464945228.98700
74.3327,68.9222,707.8260,1464945262.29700
74.3417,68.9769,707.8879,1464945295.60600
74.3746,68.9775,708.0857,1464945328.91500
74.3483,68.8070,707.9242,1464945362.22500
74.3067,68.7006,707.7904,1464945395.53400
74.3086,68.6905,707.7430,1464945428.84400
74.3218,68.6957,707.6860,1464945462.15300
74.3331,68.7897,707.6475,1464945495.46200
74.3747,68.8336,707.6194,1464945528.77200
74.3338,68.7383,707.2977,1464945562.08100
74.3055,68.5455,706.9867,1464945595.39000
74.2657,68.3362,706.6493,1464945628.70000
74.2034,68.1556,706.1886,1464945662.00900
74.1550,68.1681,706.1989,1464945695.31900
74.0025,68.3130,706.2483,1464945728.62800
73.9072,68.4095,706.1675,1464945761.93700
73.8596,68.5501,706.2080,1464945795.24700
73.8654,68.4955,706.0429,1464945828.55600
73.8905,68.2782,705.7760,1464945861.86500
73.9037,68.1990,705.7903,1464945895.17500
73.9439,68.1161,705.8349,1464945928.48400
73.9476,68.0861,705.9020,1464945961.79400
73.9252,68.1457,705.9805,1464945995.10300
73.9040,68.2772,706.0051,1464946028.41200
73.9100,68.3584,706.1048,1464946061.72200
73.8738,68.4352,706.2112,1464946095.03100
73.8421,68.3509,706.0656,1464946128.34000
73.8012,68.2861,705.9225,1464946161.65000
73.8377,68.2106,705.8298,1464946194.95900
73.8601,68.0181,705.5399,1464946228.26900
73.8691,67.9651,705.4823,1464946261.57800
73.8821,67.9304,705.3341,1464946294.88700
73.9534,68.0506,705.4849,1464946328.19700
73.9856,68.1279,705.5314,1464946361.50600
74.0060,68.1836,705.5833,1464946394.81500
73.9684,68.2205,705.6546,1464946428.12500
73.9488,68.1404,705.5849,1464946461.43400
73.9331,68.0919,705.5632,1464946494.74400
73.9393,68.0755,705.7405,1464946528.05300
74.0044,67.9897,705.6404,1464946572.46500
73.9936,68.0040,705.4421,1464946605.77500
74.0166,68.0251,705.2824,1464946639.08400
73.9280,68.0226,705.0435,1464946672.39400
73.9334,68.0055,704.9096,1464946705.70300
73.9553,67.9182,704.8172,1464946739.01200
73.9174,67.7910,704.7053,1464946772.32200
73.9014,67.5739,704.4339,1464946805.63100
73.8991,67.4804,704.2565,1464946838.94000
73.8941,67.5507,704.3381,1464946872.25000
73.8799,67.5273,704.3121,1464946905.55900
73.8554,67.5477,703.9861,1464946938.86900
73.8091,67.5485,703.8274,1464946972.17800
73.7967,67.5208,703.7264,1464947005.48700
73.7751,67.4772,703.6325,1464947038.79700
73.7585,67.3519,703.5601,1464947072.10600
73.7474,67.3059,703.6803,1464947105.41500
73.7441,67.3956,704.0106,1464947138.72500
73.7663,67.5417,704.2224,1464947172.03400
73.8011,67.6475,704.3681,1464947205.34400
73.8287,67.6732,704.3545,1464947238.65300
73.8330,67.6498,704.1291,1464947271.96200
73.8773,67.6051,704.0371,1464947305.27200
73.8853,67.5362,704.1331,1464947338.58100
73.8355,67.4746,704.0460,1464947371.89000
73.7819,67.3280,703.8115,1464947405.20000
73.7827,67.3356,703.8493,1464947438.50900
73.8124,67.3706,703.8598,1464947471.81900
73.8381,67.3662,703.8819,1464947505.12800
73.8336,67.4460,703.7617,1464947538.43700
