TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ
899.249209881,-1.0,1.0,25.0528,22.7966,-0.228,0.228,5.7120384,5.1976248,-0.0186620532386,-3.18624541981,0.0186620532386,-5.54477830169,11.8784556234,11.7863344555,0.0921211678473
932.617549896,-1.0,1.0,25.9096,21.532,-0.228,0.228,5.9073888,4.909296,-0.0186620532386,-3.1647753661,0.0186620532386,-5.5666404903,11.8784556234,11.7638573652,0.114598258217
965.972779989,-1.0,1.0,25.1999,22.914,-0.228,0.228,5.7455772,5.224392,-0.0186620532386,-3.16715634506,0.0186620532386,-5.53814895639,11.8784556234,11.7882151411,0.0902404822573
999.250180006,-1.0,1.0,26.5155,23.145,-0.228,0.228,6.045534,5.27706,-0.0186620532386,-3.1333939414,0.0186620532386,-5.53361753235,11.8784556234,11.7945903484,0.0838652750244
1032.62536001,-1.0,1.0,24.3685,20.4474,-0.228,0.228,5.556018,4.6620072,-0.0186620532386,-3.16968402445,0.0186620532386,-5.58683787149,11.8784556234,11.7432794221,0.135176201309
1065.88822007,-1.0,1.0,22.8123,17.1725,-0.228,0.228,5.2012044,3.91533,-0.0186620532386,-3.20094307379,0.0186620532386,-5.64572133368,11.8784556234,11.6852986567,0.193156966736
1099.11801004,-1.0,1.0,23.2081,17.3667,-0.228,0.228,5.2914468,3.9596076,-0.0186620532386,-3.19634769708,0.0186620532386,-5.63435655654,11.8784556234,11.6936241025,0.184831520846
1132.36717987,-1.0,1.0,22.6668,22.1763,-0.228,0.228,5.1680304,5.0561964,-0.0186620532386,-3.20937310683,0.0186620532386,-5.53920389277,11.8784556234,11.7811583558,0.0972972675726
1165.74577999,-1.0,1.0,22.2493,19.437,-0.228,0.228,5.0728404,4.431636,-0.0186620532386,-3.22021768005,0.0186620532386,-5.59231125435,11.8784556234,11.7301742846,0.148281338784
1199.11869001,-1.0,1.0,23.3927,17.1772,-0.228,0.228,5.3335356,3.9164016,-0.0186620532386,-3.19765819086,0.0186620532386,-5.63519518499,11.8784556234,11.6885922288,0.189863394551
1232.37441993,-1.0,1.0,25.1966,17.2708,-0.228,0.228,5.7448248,3.9377424,-0.0186620532386,-3.1611330556,0.0186620532386,-5.63485819942,11.8784556234,11.6901098191,0.188345804251
1265.59421992,-1.0,1.0,23.4906,18.9022,-0.228,0.228,5.3558568,4.3097016,-0.0186620532386,-3.19215374527,0.0186620532386,-5.60593849935,11.8784556234,11.7183206865,0.160134936876
1298.99591994,-1.0,1.0,23.8058,17.064,-0.228,0.228,5.4277224,3.890592,-0.0186620532386,-3.18487002212,0.0186620532386,-5.64513658361,11.8784556234,11.6831224649,0.195333158466
1332.36882997,-1.0,1.0,25.5743,15.0161,-0.228,0.228,5.8309404,3.4236708,-0.0186620532386,-3.14823662303,0.0186620532386,-5.68666917685,11.8784556234,11.6451017947,0.233353828692
