Gnd tr X,Gnd tr Y,Gaze X,Gaze Y,Timestamp,Res X,Res Y,User Dis
-1,1,-34.6565,177.0503,1379213372,1680,1050,450
-1,1,-33.0624,170.5767,1379213409,,,
-1,1,-36.3487,178.078,1379213454,,,
-1,1,-37.0207,178.8356,1379213488,,,
-1,1,-37.4694,180.9275,1379213507,,,
-1,1,-34.9179,179.2657,1379213544,,,
-1,1,-34.4401,179.5463,1379213578,,,
-1,1,-33.2384,181.0321,1379213610,,,
-1,1,-1.381,54.1423,1379213653,,,
-1,1,-0.3506,51.3163,1379213679,,,
-1,1,6.5772,24.6445,1379213712,,,
-1,1,9.5374,9.2063,1379213743,,,
-1,1,13.8518,-2.6334,1379213789,,,
-1,1,14.1066,-8.3142,1379213814,,,
-1,1,17.9666,-9.8961,1379213848,,,
-1,1,18.4415,-11.8171,1379213878,,,
-1,1,18.5895,-14.0291,1379213904,,,
-1,1,19.3076,-15.6157,1379213949,,,
-1,1,18.728,-16.4398,1379213983,,,
-1,1,17.0401,-20.0904,1379214013,,,
-1,1,19.0946,-19.2709,1379214039,,,
-1,1,22.2252,-7.9336,1379214085,,,
-1,1,22.8117,-6.5319,1379214118,,,
-1,1,25.7125,-10.6835,1379214148,,,
-1,1,26.8742,-11.2789,1379214174,,,
-1,1,27.5557,-8.4573,1379214208,,,
-1,1,26.388,-5.734,1379214253,,,
-1,1,24.8161,-8.8404,1379214283,,,
-1,1,21.0904,-14.5327,1379214311,,,
-1,1,21.4685,-14.1887,1379214356,,,
-1,1,22.3695,-13.6362,1379214356,,,
-1,1,22.6592,-12.6258,1379214418,,,
-1,1,19.9752,-10.207,1379214446,,,
-1,1,24.2905,-7.4603,1379214489,,,
-1,1,26.8401,-10.1148,1379214508,,,
-1,1,25.7932,-11.8299,1379214555,,,
-1,1,25.8178,-11.7814,1379214581,,,
-1,1,21.8354,-13.7103,1379214624,,,
-1,1,24.8824,-8.168,1379214658,,,
-1,1,23.558,-10.9423,1379214689,,,
-1,1,23.0823,-11.3054,1379214714,,,
-1,1,20.2476,-15.3193,1379214748,,,
-1,1,20.2943,-16.0863,1379214778,,,
-1,1,22.6843,-19.5767,1379214805,,,
-1,1,24.997,-14.7617,1379214849,,,
-1,1,25.7142,-12.5881,1379214884,,,
-1,1,28.8014,-8.481,1379214913,,,
-1,1,27.4383,-13.8587,1379214958,,,
-1,1,28.2127,-13.7026,1379214985,,,
-1,1,26.4022,-11.8129,1379215018,,,
-1,1,26.6155,-4.3798,1379215048,,,
-1,1,25.0507,-6.8897,1379215074,,,
-1,1,31.3641,-23.9079,1379215108,,,
-1,1,30.0512,-20.7216,1379215153,,,
-1,1,30.2754,-13.7371,1379215184,,,
-1,1,28.2453,-12.3185,1379215209,,,
-1,1,25.6588,-15.8388,1379215254,,,
-1,1,24.6962,-14.7107,1379215289,,,
-1,1,22.4013,-11.579,1379215319,,,
-1,1,22.4269,-17.3946,1379215344,,,
-1,1,20.6775,-13.4864,1379215390,,,
-1,1,18.1652,-10.9383,1379215408,,,
-1,1,17.8996,-10.5351,1379215453,,,
-1,1,14.1572,-8.6682,1379215480,,,
-1,1,14.9987,-9.6874,1379215524,,,
-1,1,15.7582,-11.8322,1379215558,,,
-1,1,20.1735,-18.4265,1379215589,,,
-1,1,20.4124,-19.7916,1379215615,,,
-1,1,20.3144,-20.7728,1379215659,,,
-1,1,19.5603,-14.5801,1379215678,,,
-1,1,20.7895,-13.7425,1379215706,,,
-1,1,19.0208,-12.0661,1379215749,,,
-1,1,15.9592,-18.0498,1379215785,,,
-1,1,17.3356,-13.9679,1379215813,,,
-1,1,19.4811,-10.3911,1379215858,,,
-1,1,19.436,-15.7356,1379215885,,,
-1,1,19.0907,-17.5434,1379215918,,,
-1,1,23.1977,-20.0249,1379215936,,,
-1,1,21.619,-19.5573,1379215993,,,
-1,1,18.8039,-17.6914,1379216008,,,
-1,1,18.7021,-17.2524,1379216053,,,
-1,1,22.2376,-15.8795,1379216082,,,
-1,1,23.0056,-16.0096,1379216109,,,
-1,1,23.2168,-15.4842,1379216154,,,
-1,1,23.7493,-14.4485,1379216189,,,
-1,1,24.4518,-15.4293,1379216218,,,
